flight_number,original_gate_name,original_gate_index,start_time_str,end_time_str,updated_start_str,updated_end_str
JJA6154,A1,1,,0250,,0242
AIQ242/242,A1,1,0521,0705,0526,0651
CAL903,A1,1,,0810,,0814
APJ859/024,A1,1,0827,0930,0821,0928
APJ023/626,A1,1,0921,1050,0934,1043
JJP013/014,A1,1,1136,1310,1143,1305
TWB687/688,A1,1,1319,1425,1325,1422
TTW725/606,A1,1,1431,1640,1436,1629
MXD883/883,A1,1,1719,1830,1726,1836
CAL732/607,A1,1,1941,2230,1950,2222
SJX206,A1,1,2224,,2231,
JJA6153,A1,1,2313,,2329,
APJ627/620,A2,2,0023,0210,0024,0204
CAL833,A2,2,,0700,,0706
SJX715,A2,2,,0800,,0808
PAL890/891,A2,2,0846,0945,0836,0950
MXD882/882,A2,2,1151,1320,1214,1319
SJX870,A2,2,,1200,,1149
APJ925/926,A2,2,1333,1500,1333,1501
CAL834/923,A2,2,1530,1810,1539,1811
TTW721,A2,2,1814,,1822,
CAL916/7847,A2,2,1925,2025,1943,2030
CAL790,A2,2,2125,,2133,
CAL924,A2,2,2239,,2258,
ESR885,A2,2,2326,,2352,
ESR886,A3,3,,0325,,0313
TTW742,A3,3,,0620,,0617
CAL160,A3,3,,0740,,0742
CAL764/030,A3,3,0757,0945,0808,0955
CAL922/909,A3,3,0948,1100,1002,1057
TTW743/228,A3,3,1116,1345,1122,1342
XAX378/378,A3,3,1411,1540,1421,1545
CAL910,A3,3,1555,,1605,
JJP055/054,A3,3,1714,1820,1716,1827
CAL029/755,A3,3,1841,2000,1849,2000
HGB704/705,A3,3,2006,2120,2012,2122
CAL794/709,A3,3,2146,2345,2154,2337
APJ723/722,A4,4,0019,0155,0027,0147
CAL068/761,A4,4,0505,0905,0515,0916
ESR881/882,A4,4,0903,1030,0921,1035
CAL602/863,A4,4,1210,1335,1211,1347
MAS366/367,A4,4,1451,1510,1425,1533
SJX841,A4,4,1531,,1540,
SJX823,A4,4,1644,,1652,
CAL2763,A4,4,2000,,1952,
CAL772,A4,4,2057,,2106,
CAL920,A4,4,2155,,2207,
CAL062/831,A5,5,0541,0925,0550,0936
KAL2249/2250,A5,5,0957,1200,0959,1201
CAL783,A5,5,,1345,,1349
SJX804,A5,5,,1500,,1458
CAL792,A5,5,1527,,1536,
HKE114/115,A5,5,1640,1740,1643,1733
KAL187/188,A5,5,1755,1855,1805,1908
SJX851,A5,5,1922,,1927,
CAL762/063,A5,5,2053,2320,2101,2310
TWB663/664,A6,6,0012,0200,0013,0150
CAL701,A6,6,,0720,,0726
CAL721,A6,6,,0845,,0859
TTW231/214,A6,6,1014,1130,1019,1135
SJX822,A6,6,,1015,,1015
KAL185/186,A6,6,1151,1320,1155,1319
CAL189/789,A6,6,1334,1445,1344,1448
CAL782,A6,6,1514,,1522,
TTW201,A6,6,1602,,1614,
APJ929/928,A6,6,1658,1805,1700,1802
CAL704,A6,6,1909,,1918,
SJX861,A6,6,2023,,2029,
CAL163/2122,A6,6,2215,2359,2220,2352
ESR983/984,A7,7,2314,0305,2318,0300
CAL023,A7,7,0421,,0430,
CAL011/771,A7,7,0558,0910,0606,0916
JNA731/732,A7,7,0934,1035,0926,1038
SJX860,A7,7,,1200,,1148
CAL121/703,A7,7,1217,1330,1227,1340
CAL161/162,A7,7,1410,1600,1420,1557
CAL101,A7,7,1645,,1652,
CAL832/061,A7,7,1814,2225,1823,2226
CAL784,A7,7,2319,,2327,
JNA755/756,A8,8,0030,0150,0051,0155
CAL007/781,A8,8,0436,0715,0445,0725
CAL130,A8,8,,0835,,0839
CEB312/313,A8,8,0902,1030,0856,1044
JJA6101/6102,A8,8,1041,1150,1050,1158
CAL111/835,A8,8,1212,1330,1218,1326
CAL502/503,A8,8,1426,1630,1434,1631
SJX801/032,A8,8,1630,2010,1635,2010
CAL005/057,A8,8,2055,2330,2104,2332
JNA751/752,A9,9,2335,0240,0006,0248
CAL021,A9,9,0349,,0359,
CAL058/081,A9,9,0508,0805,0517,0804
SJX840,A9,9,,0935,,0936
SJX862,A9,9,,1135,,1120
CAL702/527,A9,9,1250,1450,1301,1452
SJX821/235,A9,9,1505,1700,1509,1655
APJ027/028,A9,9,1729,1845,1735,1850
CAL722/024,A9,9,1935,2110,1948,2114
CAL032,A9,9,,2335,,0004
TTW603/654,B1,10,0135,0640,0138,0635
CAL756/705,B1,10,0639,0810,0653,0813
AMU632/631,B1,10,0849,0945,0847,0938
APG124/125,B1,10,0939,1040,0957,1047
DKH1309/1310,B1,10,1037,1215,1051,1208
VJC844/845,B1,10,1243,1410,1255,1402
HKE112/113,B1,10,1416,1520,1427,1517
TTW237/551,B1,10,1540,1700,1547,1658
AIQ243/243,B1,10,1734,1855,1740,1840
APJ625/860,B1,10,1915,2025,1926,2034
TTW203,B1,10,2159,,2209,
APG128/129,B2,11,0102,0215,0111,0200
SJX846,B2,11,,0730,,0726
TTW724,B2,11,,0835,,0824
SJX850,B2,11,,1005,,1002
SJX725,B2,11,,1115,,1112
EOK511/512,B2,11,1157,1315,1211,1310
AMU612/611,B2,11,1339,1440,1351,1448
PAL896/897,B2,11,1449,1655,1502,1651
TTW215/602,B2,11,1723,2000,1733,1955
CPA464/469,B2,11,2059,2220,2111,2215
TTW607,B2,11,2156,,2218,
TTW240,B3,12,,0615,,0611
CAL601,B3,12,,0725,,0732
APJ923/922,B3,12,0824,0935,0848,0944
CAL791,B3,12,,0825,,0841
HGB702/703,B3,12,0921,1055,0947,1054
VJC940/941,B3,12,1110,1210,1119,1202
SJX234/838,B3,12,1302,1455,1315,1451
CPA420/421,B3,12,1458,1630,1511,1621
AIQ231/231,B3,12,1740,1830,1743,1844
TVJ569/569,B3,12,1809,1945,1847,1940
HKE116/117,B3,12,2008,2125,2018,2121
SJX726,B3,12,2152,,2156,
TTW552,B3,12,2242,,2256,
TGW897/897,B4,13,0120,0225,0125,0230
TGW876/876,B4,13,0549,0645,0601,0652
SJX820,B4,13,,0830,,0823
CPA422/477,B4,13,0832,0955,0844,0957
AIQ230/230,B4,13,1208,1330,1225,1328
TVJ568/568,B4,13,1331,1450,1342,1445
TGW877/877,B4,13,1450,1630,1459,1631
THA634/635,B4,13,1733,1850,1745,1851
AMU618/615,B4,13,2057,2150,2104,2209
XAX379,B4,13,2230,,2236,
CPA408,B5,14,0111,,0131,
TTW210,B5,14,,0640,,0644
CPA407,B5,14,,0800,,0756
CAL731,B5,14,,0930,,0924
CPA488/489,B5,14,1000,1055,1014,1116
CPA450/450,B5,14,1150,1300,1207,1304
CAL915,B5,14,,1435,,1436
CPA400/443,B5,14,1441,1610,1452,1605
TGW896/896,B5,14,1618,1740,1628,1738
CPA565/565,B5,14,1750,1915,1758,1914
CPA402/479,B5,14,2000,2105,2006,2106
SJX839,B5,14,2124,,2137,
XAX379,B6,15,,0015,,0010
TTW234,B6,15,,0620,,0619
EVA206/184,B6,15,0629,0755,0629,0801
EVA215,B6,15,,0925,,0930
CQH8951/8952,B6,15,1022,1115,1024,1114
TTW655/720,B6,15,1118,1235,1122,1234
THA632/633,B6,15,1253,1405,1309,1401
TGW870/870,B6,15,1423,1530,1430,1537
SJX871,B6,15,1616,,1626,
CPA472/473,B6,15,1717,1840,1731,1829
SJX803,B6,15,1832,,1835,
SJX863,B6,15,1937,,1943,
CAL187,B6,15,2105,,2116,
EVA256,B6,15,2227,,2238,
JJP011/012,B7,16,0105,0240,0113,0237
EVA055,B7,16,0425,,0434,
EVA281,B7,16,,0800,,0813
EVA227,B7,16,,0930,,0944
CPA564/564,B7,16,0952,1105,1004,1106
EVA133/385,B7,16,1242,1440,1250,1432
EVA802/805,B7,16,1502,1640,1515,1639
EVA212,B7,16,1725,,1738,
EVA205,B7,16,,2045,,2044
EVA068,B7,16,2150,,2211,
SJX805,B7,16,2258,,2306,
JJP051/050,B8,17,0105,0230,0115,0222
SJX001/800,B8,17,0443,0830,0457,0832
EVA707,B8,17,,1000,,1010
HKE110/111,B8,17,1230,1340,1241,1332
EVA234/716,B8,17,1406,1605,1411,1611
EVA384/381,B8,17,1633,1935,1647,1925
EVA202,B8,17,1948,,1959,
EVA872,B8,17,2102,,2121,
SJX002,B9,18,,2340,,0022
SJX031,B9,18,0408,,0415,
EVA051,B9,18,0525,,0540,
SJX771,B9,18,,0800,,0806
EVA712,B9,18,,0955,,0955
CPA530/530,B9,18,1004,1135,1010,1130
CPA494/495,B9,18,1156,1320,1214,1314
EVA105/871,B9,18,1401,1640,1411,1632
EVA266/857,B9,18,1647,1810,1659,1821
CPA531/531,B9,18,1803,1950,1825,1954
EVA129,B9,18,2009,,2017,
EVA159,B9,18,2125,,2133,
SJX012,C1,19,,0005,,0035
EVA178,C1,19,,0630,,0630
EVA031/397,C1,19,0653,0900,0701,0908
SJX802,C1,19,,1040,,1039
EVA869,C1,19,,1240,,1243
SJX847/713,C1,19,1247,1440,1300,1445
EVA711,C1,19,1535,,1548,
UIA187,C1,19,,1625,,1701
EVA392,C1,19,1703,,1725,
CPA451/451,C1,19,1759,1930,1820,1925
EVA238/071,C1,19,2100,2355,2115,0002
EVA017/067,C2,20,0451,0815,0459,0818
EVA383,C2,20,,0945,,0948
AAR711/712,C2,20,1217,1350,1223,1352
EVA272/012,C2,20,1510,1940,1526,1943
EVA216/087,C2,20,1936,2330,1952,2337
EVA023,C3,21,0337,,0347,
EVA009,C3,21,0443,,0458,
EVA096/237,C3,21,0543,0900,0556,0914
CCA195/196,C3,21,1313,1440,1326,1438
EVA282/722,C3,21,1445,1630,1459,1629
EVA005/261,C3,21,1607,2030,1643,2022
EVA195,C3,21,2258,,2313,
EVA024,C3,21,,2300,,2309
EVA011/271,C4,22,0427,0920,0436,0932
EVA892/130,C4,22,1151,1335,1158,1332
EVA160,C4,22,,1515,,1515
EVA398/032,C4,22,1549,1910,1552,1911
EVA115,C4,22,1918,,1919,
EVA101,C4,22,2031,,2041,
EVA028,C4,22,,2340,,2338
EVA225,C5,23,,0740,,0756
EVA391,C5,23,,0920,,0925
EVA131,C5,23,1619,,1637,
EVA036,C5,23,,1920,,1930
EVA228/016,C5,23,2006,2355,2024,0001
EVA027/395,C6,24,0429,0730,0438,0733
EVA262/008,C6,24,0805,1015,0807,1005
EVA765,C6,24,,1430,,1429
EVA062,C6,24,1557,,1607,
EVA226/018,C6,24,1742,1940,1749,1937
EVA052,C6,24,,2120,,2135
EVA010,C6,24,,2330,,2330
EVA715,C6,24,2345,,2349,
EVA015,C7,25,0455,,0506,
EVA035,C7,25,0615,,0628,
EVA233,C7,25,,0900,,0903
EVA169/277,C7,25,1347,1515,1358,1519
AAR713/714,C7,25,1541,1710,1559,1713
SJX742/010,C7,25,1747,2005,1757,2012
EVA185,C7,25,2014,,2023,
EVA026,C7,25,,2340,,2354
EVA891,C8,26,,0700,,0707
EVA265,C8,26,,0845,,0857
EVA006,C8,26,,1010,,1013
CRK252/253,C8,26,1103,1220,1113,1216
EVA177/196,C8,26,1259,1520,1302,1525
ABL791/792,C8,26,1525,1630,1532,1628
EVA007,C8,26,1611,,1639,
EVA856,C8,26,1903,,1909,
EVA396,C8,26,2009,,2028,
EVA278,C8,26,2111,,2123,
EVA095,C8,26,,2345,,2347
EVA025,C9,27,0435,,0445,
EVA211,C9,27,,0820,,0829
EVA801,C9,27,,1000,,1001
EVA113/855,C9,27,1035,1410,1036,1404
CRK254/255,C9,27,1426,1545,1437,1541
EVA183,C9,27,1553,,1558,
EVA870/056,C9,27,1726,2000,1731,1958
EVA061,C9,27,,2230,,2223
SJX714,C9,27,2242,,2250,
EVA112,C10,28,,0645,,0647
EVA851,C10,28,,0815,,0819
EVA867,C10,28,,1005,,1001
ABL793/794,C10,28,1148,1325,1152,1319
SJX782/703,C10,28,1316,1545,1322,1547
EVA258/809,C10,28,1551,1900,1605,1850
CRK284/285,C10,28,1905,2015,1909,2014
CRK282/283,C10,28,2035,2145,2042,2143
SJX792,C10,28,2211,,2213,
EVA810,C10,28,2316,,2319,
CEB310/311,D1,29,0055,0215,0100,0154
SJX009/711,D1,29,0313,0740,0317,0739
SJX741,D1,29,,0900,,0858
CAL104,D1,29,,1240,,1231
CAL904/521,D1,29,1300,1410,1303,1409
CES5007/5008,D1,29,1400,1530,1413,1527
CAL153/919,D1,29,1544,1700,1550,1701
CAL1806,D1,29,1754,,1813,
CES5005/5006,D1,29,2026,2125,2031,2123
CAL864,D1,29,2132,,2140,
CAL836,D1,29,2300,,2309,
CAL054/753,D2,30,0518,0805,0525,0812
UAL872,D2,30,,0950,,0949
CCA149/150,D2,30,1108,1230,1115,1227
SJX745,D2,30,,1350,,1348
CAL155/186,D2,30,1406,1545,1413,1538
CSZ9073/9074,D2,30,1627,1735,1630,1737
CAL754/022,D2,30,1823,2330,1836,0003
CAL278,D3,31,,0655,,0646
CAL838,D3,31,0725,,0730,
MDA991,D3,31,,0840,,0841
CES2009/2010,D3,31,0955,1115,1006,1108
EVA118,D3,31,,1005,,1001
CAL107/793,D3,31,1202,1440,1208,1444
CAL706/116,D3,31,1455,1640,1458,1634
CES5001/5002,D3,31,1642,1750,1646,1742
EVA117,D3,31,1825,,1831,
CAL195/837,D3,31,1955,2240,1939,2246
CAL110,D4,32,,0650,,0651
CAL156,D4,32,,0815,,0809
JAL802,D4,32,,1000,,1005
CSN3087/3088,D4,32,1050,1230,1057,1219
CAL279/194,D4,32,1248,1430,1255,1425
EVA868,D4,32,1510,,1518,
SIA878/879,D4,32,1631,1745,1641,1748
CAL522,D4,32,1915,,1922,
CAL105,D4,32,2030,,2038,
CAL053,D4,32,,2355,,2354
CAL031,D5,33,,0433,,0442
CAL154,D5,33,,0730,,0723
CAL100,D5,33,,0855,,0900
CXA887/888,D5,33,1018,1110,1024,1114
CAL151/172,D5,33,1155,1420,1201,1423
CAL512/150,D5,33,1518,1715,1525,1659
THY024/025,D5,33,1757,2140,1816,2137
CAL504/008,D5,33,2127,2350,2143,0013
SIA034/034,D6,34,0110,0215,0116,0231
UAL853,D6,34,0331,,0329,
CAL052,D6,34,0514,,0524,
CAL120,D6,34,,0800,,0816
DAL068,D6,34,,0935,,0932
CXA879/880,D6,34,1010,1125,1012,1119
CCA185/186,D6,34,1132,1300,1137,1258
MDA992,D6,34,1330,,1313,
CAL108,D6,34,,1440,,1453
EVA708,D6,34,1519,,1521,
UAE366,D6,34,1640,,1655,
CAL131,D6,34,1900,,1905,
CAL173,D6,34,2107,,2114,
UAE367,D6,34,,2350,,2359
SJX011,D7,35,0417,,0421,
SJX781,D7,35,,0700,,0700
CAL501,D7,35,,0840,,0838
EVA116,D7,35,,1010,,1013
CSN3023/3024,D7,35,1031,1150,1042,1146
UAL852,D7,35,,1415,,1414
CAL157/122,D7,35,1444,1705,1447,1706
CES2087/2088,D7,35,1710,1840,1713,1829
DAL069,D7,35,2009,,2012,
CAL004,D7,35,,2330,,0006
CAL003,D8,36,0535,,0451,
HVN579,D8,36,,0730,,0744
THY124/125,D8,36,0816,0945,0821,1003
CHH7987/7988,D8,36,1056,1305,1102,1308
SJA876/877,D8,36,1337,1450,1326,1452
CSN3095/3096,D8,36,1557,1755,1610,1745
SJX772,D8,36,1842,,1849,
CAL528,D8,36,2000,,2016,
EVA806,D8,36,2139,,2147,
CAL109,D8,36,2245,,2248,
CAL511,D9,37,,0730,,0738
CAL152,D9,37,,0900,,0909
CES2981/2982,D9,37,0908,1050,0915,1047
JAL8663/8664,D9,37,1108,1240,1124,1240
CSN3097/3098,D9,37,1259,1450,1302,1446
SJX712,D9,37,1554,,1552,
UAL871,D9,37,1802,,1822,
JAL809,D9,37,2035,,2037,
CAL117,D9,37,2206,,2213,
HVN571,601,38,,0745,,0750
TTW206,601,38,,0900,,0909
TTW235,601,38,1507,,1517,
VJC842/843,601,38,1822,1900,1828,1937
SJX236,601,38,2156,,2202,
CAL188,602,39,,0755,,0807
AXM1510/1511,602,39,1046,1515,1441,1529
TTW241/262,602,39,1138,1415,1150,1415
TLM399/399,602,39,1534,1720,1546,1712
VJC942/943,602,39,1947,2040,1955,2056
THA636,602,39,2300,,2258,
TTW216,603,40,,0010,,0014
TVJ566/566,603,40,0647,0745,0653,0806
TTW230,604,41,,0650,,0649
SJX201,604,41,,0805,,0758
TTW211/212,604,41,1304,1515,1317,1520
TTW207/232,604,41,1539,1820,1545,1814
TTW229,604,41,2112,,2116,
TTW200,605,42,,0635,,0630
SJX233,605,42,,0800,,0807
TVJ567/567,605,42,1414,1525,1423,1538
TTW213,605,42,2133,,2139,
TTW236,606,43,,0700,,0701
TTW217,606,43,0800,,0734,
CAL7843,606,43,,1450,,1450
TTW233,606,43,2145,,2157,
EVA134,607,44,,0620,,0616
TLM398/398,607,44,0748,0855,0754,0852
SJX716/791,607,44,1453,1650,1508,1645
HVN570,607,44,2140,,2250,
EVA858,607,44,2250,,2255,
EVA166,608,45,,0655,,0651
EVA106,608,45,,0810,,0820
SJX202/205,608,45,1238,1600,1247,1603
HVN578,608,45,2118,,2118,
SJX746,608,45,2233,,2241,
THA637,609,46,,0755,,0756
EVA157/186,609,46,1338,1625,1350,1628
CAL7846,609,46,2051,,2058,
VJC840/841,610,47,0557,0640,0610,0719
EVA165,610,47,1605,,1624,
EVA386,610,47,2135,,2146,
EVA382/255,611,48,0617,0950,0630,1001
EVA852/102,611,48,1322,1510,1332,1511
EVA197,611,48,1701,,1707,
EVA766,611,48,2235,,2242,
EVA132,612,49,,0830,,0857
UIA188,612,49,2145,,2155,
EVA088/201,613,50,0624,1020,0637,1025
EVA158,613,50,,0635,,0622
EVA212,613,50,,,0622,
EVA721,613,50,2139,,2146,
EVA257,614,51,,0725,,0724
EVA198,614,51,,0900,,0919
EVA315,614,51,,0910,,0929
SJX704,614,51,2216,,2221,
EVA170,615,52,,0730,,0733
EVA315,615,52,,0910,,0929